Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2010-11-11,81.73000300000001,82.660004,81.519997,82.440002,59.105083,5006000,CAT
2010-11-12,81.839996,82.529999,80.040001,81.040001,58.101334,6156900,CAT
2010-11-15,79.889999,83.580002,79.800003,81.82,58.66057200000001,15814200,CAT
2010-11-16,81.87999699999999,82.17999999999999,79.699997,80.370003,57.620987,12510000,CAT
2010-11-17,80.559998,81.44999700000001,80.010002,81.16999799999999,58.194546,5402900,CAT
2010-11-18,82.5,83.43,82.269997,83.110001,59.58543,6638700,CAT
2010-11-19,83.089996,83.98000300000001,82.510002,83.970001,60.201988,5740500,CAT
2010-11-22,83.87999699999999,84.349998,82.790001,84,60.223499000000004,6411200,CAT
2010-11-23,83.279999,83.37999699999999,82.010002,82.62999699999999,59.24128699999999,5739200,CAT
2010-11-24,83.25,84.790001,83.25,84.69000199999999,60.71821200000001,5865900,CAT
2010-11-26,83.830002,84.25,83.44999700000001,84.12999699999999,60.316703999999994,2520700,CAT
2010-11-29,83.70999900000001,83.889999,82.550003,83.66999799999999,59.986912000000004,5085700,CAT
2010-11-30,82.830002,84.919998,82.760002,84.599998,60.653670999999996,7768400,CAT
2010-12-01,85.029999,87.800003,85,87.44999700000001,62.696964,8858600,CAT
2010-12-02,87.44999700000001,88.889999,87.44999700000001,88.620003,63.535793000000005,6349200,CAT
2010-12-03,88.360001,89.489998,87.830002,89.37999699999999,64.080681,4996600,CAT
2010-12-06,89.279999,89.67999999999999,88.57,89.199997,63.951617999999996,4341500,CAT
2010-12-07,89.94999700000001,92,89.94999700000001,90.349998,64.77612300000001,11247700,CAT
2010-12-08,90.260002,90.900002,89.290001,89.620003,64.252754,5246500,CAT
2010-12-09,90.12999699999999,90.239998,89.019997,89.66999799999999,64.288605,3832300,CAT
2010-12-10,89.790001,90.160004,89.389999,89.940002,64.482147,3313200,CAT
2010-12-13,90.65000199999999,92.370003,90.199997,91.62999699999999,65.693825,6637100,CAT
2010-12-14,92.19000199999999,92.91000400000001,91.510002,92.089996,66.023605,4944100,CAT
2010-12-15,92.75,94.330002,92.660004,93.120003,66.762062,8314300,CAT
2010-12-16,93.19000199999999,93.65000199999999,92.540001,93.199997,66.819397,4863400,CAT
2010-12-17,93.400002,93.41000400000001,92.25,92.589996,66.38207999999999,6467000,CAT
2010-12-20,93.370003,93.550003,92.529999,93.300003,66.891098,3523200,CAT
2010-12-21,93.699997,94.889999,93.239998,94.62999699999999,67.84464300000002,4108200,CAT
2010-12-22,94.779999,94.779999,94.110001,94.57,67.80162000000001,2611800,CAT
2010-12-23,94.290001,94.739998,94,94.44999700000001,67.715591,2206200,CAT
2010-12-27,93.849998,94.199997,93.20999900000001,94.07,67.44314600000001,2620200,CAT
2010-12-28,94.279999,94.419998,93.07,93.69000199999999,67.17071499999999,2991800,CAT
2010-12-29,93.75,94.220001,93.5,93.779999,67.235237,2779400,CAT
2010-12-30,93.559998,94.139999,93.519997,93.870003,67.299751,2325500,CAT
2010-12-31,93.830002,93.900002,93.309998,93.660004,67.149231,2542700,CAT
2011-01-03,94.37999699999999,94.809998,94.110001,94.15000199999999,67.500511,5231500,CAT
2011-01-04,94.639999,94.639999,92.300003,93.70999900000001,67.18506599999999,6119300,CAT
2011-01-05,93.269997,94.69000199999999,92.989998,94.519997,67.76576999999999,4118100,CAT
2011-01-06,94.70999900000001,94.70999900000001,93.300003,93.540001,67.063179,4106300,CAT
2011-01-07,93.860001,94.73000300000001,92.800003,93.73000300000001,67.19940199999999,4547800,CAT
2011-01-10,93.20999900000001,93.970001,92.510002,93.389999,66.955627,4154500,CAT
2011-01-11,94.080002,94.699997,93.25,93.94999700000001,67.357101,5302800,CAT
2011-01-12,94.589996,94.620003,93.43,93.489998,67.027328,5699000,CAT
2011-01-13,94.089996,94.529999,93.699997,94.139999,67.493362,4539900,CAT
2011-01-14,93.940002,94.260002,93.110001,94.010002,67.400146,4572500,CAT
2011-01-18,94.160004,96.470001,93.940002,96.23000300000001,69.31620000000001,8819200,CAT
2011-01-19,96.339996,96.800003,95.15000199999999,95.540001,68.819176,6478100,CAT
2011-01-20,94.900002,95.279999,93.309998,93.610001,67.42896300000001,7160800,CAT
2011-01-21,94.75,95,92.370003,92.75,66.80948599999999,6189000,CAT
2011-01-24,92.70999900000001,94.69000199999999,92.510002,94.57,68.12043799999998,4615000,CAT
2011-01-25,94.389999,94.65000199999999,92.970001,94.389999,67.990784,5436900,CAT
2011-01-26,94.93,96.160004,94.400002,95.75,68.97043599999999,6090700,CAT
2011-01-27,97.099998,97.790001,95.519997,96.62999699999999,69.604324,11534600,CAT
2011-01-28,97.010002,97.199997,94.900002,95.67999999999999,68.92001300000001,7240800,CAT
2011-01-31,96.12999699999999,97.199997,95.849998,97.010002,69.87800599999998,6012900,CAT
2011-02-01,97.349998,98.059998,96.5,98.010002,70.598351,7553400,CAT
2011-02-02,97.739998,99.269997,97.67999999999999,99.089996,71.376274,6527600,CAT
2011-02-03,99.239998,99.239998,98.15000199999999,98.93,71.261047,5032400,CAT
2011-02-04,99.010002,99.720001,98.699997,99.589996,71.73644300000001,6027100,CAT
2011-02-07,99.620003,100.809998,99.489998,100.470001,72.37033799999998,5697900,CAT
2011-02-08,100.57,100.699997,99.309998,100.610001,72.47118400000001,5044700,CAT
2011-02-09,100.110001,100.44999700000001,99.19000199999999,99.790001,71.88050799999999,4800800,CAT
2011-02-10,99.279999,100.760002,98.75,100.599998,72.46397400000001,5634800,CAT
2011-02-11,100.290001,103.550003,100.199997,103.540001,74.581703,6445100,CAT
2011-02-14,103.559998,103.639999,102.800003,103.260002,74.380013,4057400,CAT
2011-02-15,102.95999900000001,103.110001,102.010002,103,74.192726,4421900,CAT
2011-02-16,103.900002,104.41000400000001,102.91000400000001,103.550003,74.588921,4852100,CAT
